_id,head,normalized_head
1,qa,a
5,qá,a
6,qaq,a
8,qabá,aba
9,qabá,aba
11,qabaqá,abaa
12,qabáb,abab
13,tagaqabád,tagaabad
14,pakatagaqabád,pakatagaabad
16,qábqab,ab-ab
17,qabád,abad
18,qábag,abag
19,kaqábag,kaabag
20,qabagá,abaga
21,qabága,abaga
22,qabagá,abaga
23,paŋabága,pangabaga
24,qabagáhun,abagahun
25,qabáhu,abahu
28,qabaká,abaka
29,qabakahán,abakahan
30,qabakánhan,abakanhan
31,qabakál,abakal
32,qabakáda,abakada
33,qabakál,abakal
34,qabál,abal
35,qabalú,abalu
36,qabalwasiyún,abalwasiyun
37,qabandunár,abandunar
38,qabandunádu,abandunadu
39,qabandúnu,abandunu
40,qábaŋ,abang
41,paŋábaŋ,pangabang
42,qabaŋán,abangan
43,qabaŋán,abangan
44,qabánid,abanid
45,qabaníku,abaniku
47,paŋabaníku,pangabaniku
48,qinabaníku,inabaniku
49,qabansáda,abansada
50,qabánsi,abansi
52,qabánsin,abansin
53,qabánti,abanti
55,qabánu,abanu
56,paŋabánu,pangabanu
57,qabát,abat
58,qalábtan,alabtan
59,qabtanán,abtanan
60,qalábtun,alabtun
61,qabatqábat,abat-abat
62,qábat,abat
63,qabatán,abatan
64,qábat,abat
65,qabáy,abay
67,maŋalábay,mangalabay
68,maŋaqabáy,mangaabay
69,qabayán,abayan
70,qabyanán,abyanan
71,qábyan,abyan
72,qábgaw,abgaw
73,qabgawún,abgawun
74,qábhak,abhak
75,qábhul,abhul
76,qábhuŋ,abhung
77,qabhuŋún,abhungun
78,qabí,abi
79,qábi,abi
84,qabiqábi,abiabi
85,maqabiqabíhun,maabiabihun
86,maŋgiqabiqabíhun,manggiabiabihun
87,qabíba,abiba
88,qabibár,abibar
89,maqabibáhun,maabibahun
90,qabíhid,abihid
91,qabiláy,abilay
92,qabilidád,abilidad
93,qabilidarán,abilidaran
94,qabilyána,abilyana
95,qábin,abin
96,kaqábin,kaabin
97,qabintúra,abintura
98,qabinturár,abinturar
99,qabinturíru,abinturiru
100,qabinturíra,abinturira
101,qabinturísta,abinturista
102,qabír,abir
103,qabiríds,abirids
104,qabiríya,abiriya
105,qabírtu,abirtu
106,qabís,abis
107,paŋabís,pangabis
108,qabísu,abisu
109,qabitsúylas,abitsuylas
110,qabitú,abitu
111,qabíyu,abiyu
112,qabiyún,abiyun
113,kaqábiyunan,kaabiyunan
114,qábkay,abkay
115,qábla,abla
116,paŋábla,pangabla
117,qabládu,abladu
118,qablása,ablasa
119,qábli,abli
121,qábrap,abrap
122,qabrása,abrasa
123,qabrasadúr,abrasadur
124,qabrasíti,abrasiti
125,qabrasyíti,abrasyiti
126,qábri,abri
127,qabridúr,abridur
128,qábri,abri
129,qabrigána,abrigana
130,qabrigáwu,abrigawu
131,qabrígu,abrigu
132,qábril,abril
133,qabriláta,abrilata
134,qábsin,absin
135,hiŋábsin,hingabsin
136,palaqábsin,palaabsin
137,qabsiníru,absiniru
138,qabsinús,absinus
140,qabsinús,absinus
141,qabsulusiyún,absulusiyun
142,qabsuwíltu,absuwiltu
143,qábtik,abtik
144,paŋábtik,pangabtik
145,qábtuŋ,abtung
146,qabú,abu
147,kaqábu,kaabu
148,qalabúhan,alabuhan
149,qabuhún,abuhun
150,qabuqábu,abuabu
151,qabúbhu,abubhu
152,paŋabúbhu,pangabubhu
153,qabubhuqán,abubhuan
154,mapaŋabubhúqun,mapangabubhuun
155,qabúd,abud
156,qábud,abud
157,qalábdan,alabdan
158,qábud,abud
159,qábud,abud
160,qabúg,abug
161,kaqábug,kaabug
162,qabugún,abugun
163,qalabúgan,alabugan
164,qabúg,abug
165,paŋabúg,pangabug
166,qábug,abug
167,qanúg,anug
168,qabugán,abugan
169,qábug,abug
170,qabugáda,abugada
171,qabugádu,abugadu
172,qabugaduhún,abugaduhun
173,qabugágu,abugagu
174,qabugár,abugar
175,qabugasíya,abugasiya
176,qabúghu,abughu
177,qabúghuq,abughu
178,qabukádu,abukadu
179,qabúkay,abukay
180,qabukáy,abukay
181,qabunansiyá,abunansiya
182,qabúnda,abunda
183,qabundansiyá,abundansiya
184,qábuŋ,abung
185,qabúŋ,abung
186,paqabúŋ,paabung
187,paqábuŋ,paabung
188,paŋabúŋ,pangabung
189,qabuŋáw,abungaw
190,qabuŋáw,abungaw
191,qabúnu,abunu
192,qaburídu,aburidu
194,paŋísip,pangisip
195,qabusáda,abusada
196,qabusádu,abusadu
197,qabusár,abusar
198,qabúsu,abusu
199,qabút,abut
201,qábut,abut
203,paqábut,paabut
204,qabutqabút,abut-abut
205,qabutqábut,abut-abut
206,siŋabút,singabut
207,qalabútun,alabutun
208,qalábtan,alabtan
209,qabtanán,abtanan
210,qalabútan,alabutan
211,qumaqábut,umaabut
212,qumalábut,umalabut
213,taliqabút,taliabut
214,taliqábut,taliabut
215,saliqabút,saliabut
216,saliqábut,saliabut
217,qábwag,abwag
218,qabyadúr,abyadur
219,qábyan,abyan
220,qabyasiyún,abyasiyun
221,qabyásyun,abyasyun
222,qabyírtu,abyirtu
223,qabyírtu,abyirtu
224,qábyug,abyug
226,qád,ad
227,qád,ad
228,qadá,ada
231,qáda,ada
232,qadá,ada
233,qádqad,ad-ad
234,qadqarán,ad-aran
235,qadán,adan
236,qádbans,adbans
238,qadbáysir,adbaysir
241,qadbintísta,adbintista
242,qadbirbiyú,adbirbiyu
243,qadbiyíntu,adbiyintu
244,qádgaw,adgaw
245,qadíqa,adia
246,díqa,dia
247,qádik,adik
248,qadilantádu,adilantadu
249,qadilántar,adilantar
250,qadilántu,adilantu
251,kaqadilantúhan,kaadilantuhan
252,qadílpa,adilpa
253,qadimás,adimas
254,qadiŋmasín,adingmasin
